name,position,proBowl,age,qb,rb,k,te,wr,gamesPlayed,gamesStarted,receptions,longestReception,longestRushingAttempt,pickNumber,ydsSkd,fantasyPoints,imgPath,createdAt,updatedAt
Jesse James,TE,0,22,0,0,0,1,0,11,11,29,24,0,160,0,101.572,jessejames.png,,
Virgil Green,TE,0,28,0,0,0,1,0,8,7,18,31,0,204,0,82.54,virgilgreen.png,,
Stephen Gostkowski,TE,0,32,0,0,0,1,0,11,0,0,0,0,118,0,57.74,stephengostkowski.png,,
Steven Hauschka,TE,0,31,0,0,0,1,0,11,0,0,0,0,0,0,61.3,stevenhauschka.png,,
Dan Bailey,K,0,28,0,0,1,0,0,11,0,0,0,0,0,0,52.828,danbailey.png,,
Justin Tucker,K,0,27,0,0,1,0,0,11,0,0,0,0,0,0,50.004,justintucker.png,,
Adam Vinatieri,K,0,44,0,0,1,0,0,11,0,0,0,0,0,0,98.012,adamvinatieri.png,,
Mason Crosby,K,0,32,0,0,1,0,0,10,0,0,0,0,193,0,49.687,masoncrosby.png,,
Graham Gano,K,0,29,0,0,1,0,0,11,0,0,0,0,0,0,55.652,grahamgano.png,,
Blair Walsh,K,0,26,0,0,1,0,0,9,0,0,0,0,175,0,29.721,blairwalsh.png,,
Chandler Catanzaro,K,0,25,0,0,1,0,0,11,0,0,0,0,0,0,44.356,chandlercatanzaro.png,,
Matt Prater,K,0,32,0,0,1,0,0,11,0,0,0,0,0,0,64.124,mattjones.png,,
Roberto Aguayo,K,0,22,0,0,1,0,0,11,0,0,0,0,59,0,32.692,robgronkowski.png,,
Chris Boswell,K,0,25,0,0,1,0,0,11,0,0,0,0,0,0,44.356,chrisboswell.png,,
Cairo Santos,K,0,25,0,0,1,0,0,11,0,0,0,0,0,0,44.356,cairosantos.png,,
Brandon McManus,K,0,25,0,0,1,0,0,11,0,0,0,0,0,0,44.356,brandonmcmanus.png,,
Matt Bryant,K,0,41,0,0,1,0,0,11,0,0,0,0,0,0,89.54,mattbryant.png,,
Nick Novak,K,0,35,0,0,1,0,0,11,0,0,0,0,0,0,72.596,nicknovak.png,,
Dan Carpenter,K,0,31,0,0,1,0,0,11,0,0,0,0,0,0,61.3,dancarpenter.png,,
Mike Nugent,K,0,34,0,0,1,0,0,11,0,0,0,0,47,0,67.229,mikenugent.png,,
Dustin Hopkins,K,0,26,0,0,1,0,0,11,0,0,0,0,177,0,37.604,dustinhopkins.png,,
Connor Barth,K,0,30,0,0,1,0,0,11,0,0,0,0,0,0,58.476,connorbarth.png,,
Phil Dawson,K,0,41,0,0,1,0,0,11,0,0,0,0,0,0,89.54,phildawson.png,,
Sebastian Janikowski,K,0,38,0,0,1,0,0,11,0,0,0,0,17,0,80.148,sebastianjanikowski.png,,
Josh Lambo,K,0,26,0,0,1,0,0,11,0,0,0,0,0,0,47.18,joshlambo.png,,
Kai Forbath,K,0,29,0,0,1,0,0,2,0,0,0,0,0,0,19.688,kaiforbath.png,,
Jason Myers,K,0,25,0,0,1,0,0,11,0,0,0,0,0,0,44.356,jasonmyers.png,,
Cam Newton,QB,0,27,1,0,0,0,0,10,10,0,0,0,1,208,197.622,camnewton.png,,
Aaron Rodgers,QB,0,33,1,0,0,0,0,10,10,0,0,0,24,157,187.199,aaronrodgers.png,,
Russell Wilson,QB,0,28,1,0,0,0,0,11,11,0,0,0,75,205,203.415,russellwilson.png,,
